ismainentityoldpayeebankind,ki_activitywithsimilaramounts_offlineretail_externalinternationaltransfer_v2,ki_firsttransactionbymainentity_offlineretail_externalinternationaltransfer_v1,ki_unusualnoemailnotification_offlineretail_externalinternationaltransfer_v1,ki_suspiciousamountunttlamt_offlineretail_externalinternationaltransfer_v2,ki_lowtotalamount_offlineretail_externalinternationaltransfer_v1,accountstatus,ki_suspiciousamountunttlamt_offlineretail_externalinternationaltransfer_v1,finding,payeeroutingtype,requestedamountnormalizedcurrency,ki_recentnamechange_offlineretail_externalinternationaltransfer_v1,ki_recentaddresschange_offlineretail_externalinternationaltransfer_v1,ki_recentemailchange_offlineretail_externalinternationaltransfer_v1,trxaccounttype,phasebmodeltrxscore,cs44,requestedamountasentered,actimizedayssinceaccounthaddebitandcreditonsameday,ki_activitywithsimilaramounts_offlineretail_externalinternationaltransfer_v1,model_offlineretail_externalinternationaltransfer_score,partycountrycd,ispayeehf
0,,17,244,,3000,1,,1,ABA,3000,2578,2563,39,DDA,20,FWT,3000,0,,20,US,1
0,,0,,,170000,3,,1,ABA,170000,67,23,7,FX,70,FWT,170000,0,,70,US,1
1,,73,,,12750,99,,1,ABA,12750,105,92,73,FX,-35,FWT,12750,12,,-35,US,1
0,,0,266,,13000,99,,1,SWT,13000,1598,348,1567,FX,230,FWT,13000,1,,130,US,1
0,,498,87,8000,4000,3,4000,1,SWT,4000,3939,1195,967,DDA,115,FWT,4000,9,,15,US,1
0,,126,81,,2500,3,,1,SWT,2500,5973,103,2441,DDA,35,FWT,2500,20,,35,ca,1
0,,0,159,,3100,1,,1,SWT,3100,4967,429,4573,DDA,55,FWT,3100,19,,55,US,1
0,,0,,,3500,4,,1,ABA,3500,,4247,6917,FX,25,FWT,3500,,,25,US,1
0,,0,79,,49410,99,,1,ABA,49410,,9206,1035,DDA,55,FWT,49410,43,,55,us,1
0,,0,107,,45500,3,,1,SWT,45500,3605,2286,2573,FX,55,FWT,45500,23,,55,CA,1
0,,227,152,,10000,3,,1,SWT,10000,,5427,5651,DDA,45,FWT,10000,65,,45,US,1
0,,0,173,,500,99,,1,ABA,500,854,488,846,None,20,FWT,500,67,,20,,1
0,,34,603,,15000,3,,1,ABA,15000,3319,597,3318,,40,FWT,15000,0,,30,IL,1
0,,0,243,,48000,99,,1,ABA,48000,,8642,,DDA,55,FWT,48000,112,,55,US,1
0,,0,53,,31700,4,,1,ABA,31700,,10480,4066,FX,70,FWT,31700,99,,70,ca,1
0,,78,215,,50000,3,,1,SWT,50000,2497,201,1332,DDA,115,FWT,50000,3,,115,ca,1
0,,0,,,7000,4,,1,SWT,7000,550,548,550,FX,50,FWT,7000,351,,50,US,1
0,,2,,,15000,1,,1,ABA,15000,111,106,101,DDA,45,FWT,15000,48,,45,US,1
0,,1071,114,,35760,1,,1,ABA,35760,4459,6214,,DDA,50,FWT,35760,29,,50,US,1
0,,0,23,,88000,1,,1,ABA,88000,225,228,225,FX,70,FWT,88000,27,,70,US,1
0,,0,,,10000,4,,1,ABA,10000,981,2502,980,DDA,60,FWT,10000,503,,60,US,1
0,,1239,,,50000,3,,1,ABA,50000,3835,652,1232,DDA,40,FWT,50000,,,40,us,1
0,,0,147,,2000,15,,1,SWT,2000,2330,2315,2329,DDA,53,FWT,2000,45,,53,US,1
1,,753,244,,5940,99,,1,BIC,5940,953,933,953,DDA,-35,FWT,5940,91,,-35,US,1
0,,0,,,68047.63,3,,1,ABA,68047.63,2779,215,297,DDA,40,FWT,68047.63,,,40,US,1
0,,0,,,33000,4,,1,SWT,16500,253,215,253,DDA,65,FWT,16500,,,65,US,1
1,,226,15,,130000,4,,1,BIC,130000,303,1,303,DDA,-5,FWT,130000,225,,-5,US,1
1,,20,106,,14000,99,,1,SWT,14000,,8746,8417,DDA,-25,FWT,14000,23,,-25,us,1
0,,0,277,,66000,4,,1,ABA,33000,2265,3803,1821,DDA,55,FWT,33000,2,,55,IL,1
0,,833,146,,25020,3,,1,BIC,25020,5669,2087,1260,DDA,63,FWT,25020,624,,63,US,1
0,,0,70,,3510,99,,1,SWT,3510,738,738,738,FX,65,FWT,3510,3,,65,US,1
0,,0,38,,23060,4,,1,ABA,23060,,787,2284,DDA,55,FWT,23060,,,55,US,1
0,,56,583,,400,3,,1,ABA,400,6180,2699,2770,DDA,5,FWT,400,34,,5,,1
0,,0,123,,26000,99,,1,ABA,26000,,10493,3680,FX,70,FWT,26000,121,,70,GR,1
0,,0,13,,39500,3,,1,BIC,39500,4857,4702,2369,DDA,100,SWF,39500,78,,100,US,1
0,,0,,,1400,99,,1,BIC,1400,5486,374,77,DDA,73,FWT,1400,70,,73,US,1
0,,73,,,30000,99,,1,ABA,30000,,3702,3874,DDA,35,FWT,30000,20,,25,US,1
0,,0,,,1500,1,,1,ABA,1500,577,560,540,FX,210,FWT,1500,277,,210,US,1
0,,0,85,,900,4,,1,ABA,900,4499,4455,5,DDA,50,FWT,900,100,,50,US,1
0,,7,,,300000,3,,1,ABA,180000,81,5,80,DDA,50,FWT,180000,2,,50,US,1
0,,0,,,500,1,,1,ABA,500,112,85,,DDA,20,FWT,500,,,20,,1
0,,0,593,,15000,4,,1,ABA,15000,2593,2542,2573,DDA,50,FWT,15000,0,,50,US,1
0,,1609,11,,10000,3,,1,SWT,10000,,8983,5228,DDA,65,FWT,10000,131,,65,US,1
0,,0,162,,2000,4,,1,ABA,1000,3582,3538,1304,FX,60,FWT,1000,6,,60,us,1
1,,35,13,,25000,15,,1,ABA,25000,,6289,1293,DDA,-25,FWT,25000,119,,-25,CA,1
0,,0,164,,1000,1,,1,ABA,1000,5459,3285,2318,FX,20,FWT,1000,102,,20,US,1
0,,132,148,,17000,1,,1,ABA,17000,,4462,,DDA,35,FWT,17000,18,,35,US,1
0,,0,29,,4000,99,,1,ABA,4000,222,164,215,FX,55,FWT,4000,2,,55,US,1
0,,0,89,,3000,99,,1,SWT,3000,,6986,3550,DDA,55,FWT,3000,35,,55,US,1
0,,0,16,,5000,1,,1,ABA,5000,2503,388,1114,FX,60,FWT,5000,,,60,US,1
0,,55,,,47300,99,,1,ABA,47300,120,115,118,DDA,40,FWT,47300,,,40,US,1
0,,17,,,25000,3,,1,SWT,25000,278,212,112,DDA,40,FWT,25000,5,,40,IL,1
